Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time is Sundown: The Vampire in Retreat showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album Cara De Dios.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
rate Mandela: The Authorised Biography a one  [predicted:  GetWeather ; correct:  RateBook ]
fimd films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please pull up Nothing Feels Good  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plpay my Disco Fever playlist.  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see Travelling Light?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
find the novel Meg and Seron  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Richard Thompson from the thirties song book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Warhead playing at AMC Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play me songs from the Estado de ánimo playlist?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the last Wellman Braud album relaesd  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
table for 7 at Blueberry Hill  [predicted:  GetWeather ; correct:  BookRestaurant ]
SCORE:  2828 / 3140  ( 0.9006369426751593 )
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find me the Journal of the British Astronomical Association movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
Find the novel What We Did on Our Holiday  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to Speed Metal Symphony  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is AMC Theaters showing Crime on the Hill?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I view the trailer Extreme – The Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear symphony songs from Rebecca Cartwright on Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
some me a Healthy picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it feel nice here or within the same area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the 2014 album from la lupe  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Circle of Iron in the closet cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Peveril of the Peak a five  [predicted:  GetWeather ; correct:  RateBook ]
Play music from jeremy taylor on the album Dormi Amore, La Situazione Non È Buona on Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd looking for the saga PlayCanvas.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the novel The Last of Sheila  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Search for The Long Dark  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate Mandela: The Authorised Biography a one  [predicted:  GetWeather ; correct:  RateBook ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
table for 6 at a bar  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the hit album, The Politics of Dancing.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book saga West with the Night a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play a top five Jonny Buckland symphony from around 1989  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Look for the Itv.com song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to get saga of A Brush with the Law  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search the Live from Leeds album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Ayumi Hamasaki Countdown Live 2007–2008 Anniversary song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Rate A Taste of Blackberries  a three  [predicted:  GetWeather ; correct:  RateBook ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13  [predicted:  BookRestaurant ; correct:  RateBook ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time can I watch Son of Rambow Tonight at Fox Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a saga with 0 rating called Poems for Midnight  [predicted:  BookRestaurant ; correct:  RateBook ]
Is My Own True Love playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when is The Statue showing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for All That Matters  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Where can I find the novel A Woman in the Web  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to an ep from 1998.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where will The Blonde from Peking be playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Am looking for a book with the title Free to Play  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where and when is Douglas playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find me the novel with the name To Lose My Life…  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the album Making Evening And Night by Cevin Key  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best 1981 sound track from Ric Fierabracci  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
my rating for Some Doves and Pythons is four  [predicted:  GetWeather ; correct:  RateBook ]
Please look up the Atheist Manifesto: The Case Against Christianity album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play something by grandmaster flash & the furious five on youtube  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where to get album Justified  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the last Wellman Braud album relaesd  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
What time is The Face in the Moonlight showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
restaurant named The Palm in Tennyson MI  [predicted:  GetWeather ; correct:  BookRestaurant ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Walt: The Man Behind the Myth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for the Pokémon: The Movie 2000 TV show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play I Could Write A Book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where to buy book Charlie Countryman deve morire  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is The Creators showing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Storm Warning playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go to an outdoor cafe in Pioneer Day  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I see the album SWAT Force?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show the Three Tales album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
