Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Weather at Norfolk Island  [predicted:  PlayMusic ; correct:  GetWeather ]
Book the Great House at Sonning distant from Gun Hill Rd.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Where can I find the movie schedules?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add Intelligence and Sacrifice to Skatepark Punks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Show The drive of life album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to see painting Twelve Angry Men  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add little musgrave and the lady barnard to ora's Punk Rock Workout playlist  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
forecast for Conrad  [predicted:  PlayMusic ; correct:  GetWeather ]
Find The Gamble.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need weather close-by where I am in state of MS  [predicted:  PlayMusic ; correct:  GetWeather ]
TV series for The Thirty Nine Steps?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Księga Urodzaju to abigail's Concentración  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the man who sold the world from Steve Swell  [predicted:  RateBook ; correct:  PlayMusic ]
add Olga Souza to virginia's femme fatale playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Dipson Theatres animated movies  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play the Putrefactive Infestation trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2796 / 3140  ( 0.8904458598726115 )
is Maalaea has chillier weather  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the book Sell Your Body?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Listen To The Mocking Bird by Billy Martin on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where is Chips in Crouch  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I get Fight for Anarchy  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show the Glass Cloud – Single TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put dschiwan gasparjan into the Cool Down playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Noctámbulo playlist  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please search Thirayum Theeravum video game.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play some blues britânico.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Anweshaa by the new first.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
give me some Last Emperor  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play a Paolo Gregoletto song  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some art punk.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the Michael Moore Is a Big Fat Stupid White Man video game?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give White House Diary two points  [predicted:  PlayMusic ; correct:  RateBook ]
Play Monts Et Merveilles.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add big bill broonzy to my Impulso Creativo  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Nazad, nazad, Kalino mome to Escapada  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you make an addition to the Old Enough To Enjoy This playlist with Martin Barre?  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play some rock & roll by Deezer.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When will Third Person Singular Number be playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
There can I find The Beggar Maid playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Fall-Down Artist 5 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Play Lastfm.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
give zero star for current album  [predicted:  PlayMusic ; correct:  RateBook ]
add madlib invazion to my prog rock monsters list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Weather within the same area as Qatar at four  [predicted:  BookRestaurant ; correct:  GetWeather ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The Game of Silence 3 points  [predicted:  PlayMusic ; correct:  RateBook ]
Go to Attack of the Planet Smashers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open up Groove Shark.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please add Lifetracks to motivation mix  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add ana carolina to chill  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Moris Tepper  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some Sam Moore.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Always Pop Punk.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is there hail forecast for Hale Center on 7/22/2030?  [predicted:  PlayMusic ; correct:  GetWeather ]
Play some new age music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add Foreign Affair to the disney playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play biguine music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
forecase for Ohio in twenty one hours and one second  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play shara worden  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I get the novel Flesh-Colored Horror  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need the book titled Lullaby of Broadway  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Weather for Coaldale Arkansas  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Elitsa Todorova music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Bad Boy Bill  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play playlist Chilled R&B  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Lastfm by Steampunk  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What theater is showing From Paris with Love and when?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Spotify  [predicted:  BookRestaurant ; correct:  PlayMusic ]
play a Keith Richards album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the game List of Mew singles?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add carla's OopDeeWopDee in Funk Rock  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Facedown by Maximum Bob  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When will So Happy Together begin playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Give Double Persephone series two stars  [predicted:  PlayMusic ; correct:  RateBook ]
I need to see some movie schedules  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play Metal Crash Course playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play playlist funtime  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play some pambiche please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Iheart  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Is there an expected blizzard in Brook, Tennessee today?  [predicted:  PlayMusic ; correct:  GetWeather ]
When is For Lovers Only playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
rate The Road to Reality: A Complete Guide to the Laws of the Universe two points  [predicted:  AddToPlaylist ; correct:  RateBook ]
Add Nightmares That Surface from Shallow Sleep to michael's Rock Solid playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play playlist A Mis Niños de 30  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play some Jerry Dixon  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play soem nineties Charles Thompson  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please open Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
She me that movie schedule  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add Unite and Win to my night out  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Isaac Yamma Slut  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Donny Tourette's Push The Button  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Include golden boy in Pop Dance  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add el pavo dustin to viajes  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
in one hour find King of Hearts  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rate Hunting and Gathering a two  [predicted:  PlayMusic ; correct:  RateBook ]
Play my Sophisticated Dinner playlist on Slacker  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Khujo eighties track song  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Warren Theatres films  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it sunny in Qatar?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
add Our Favorite Things to Reggae BBQ playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show  of From South Africa to South Carolina  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Rapid City Muscle Car.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
painting of Live from the El Rey Theatre  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to see some movies in a B&B Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play The Case of the Whitechapel Vampire TV series  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play rich sex on Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put this dave abbruzzese tune on Family Road Trip  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate Girls Forever Brave and True zero points  [predicted:  PlayMusic ; correct:  RateBook ]
Let's hear stuff from Andrew Hewitt.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Tina Cousins from 1956  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Fereydoun Farrokhzad best track  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book at Beardslee Castle in Fairview Lanes for fifteen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my springtime playlist.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add 12 Odd Future Songs to the Club Hits playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add album radar latino  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Dick Marx  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Progressive Metal.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put Before the Eulogy onto Acoustic Blues  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add sweets edison to relaxing playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When is Scaramouche playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
forecast for Addo-Elefanten-Nationalpark  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
add qad el horoof to night playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Blue Sky and the Devil to mai's Infantil playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Zvooq  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Add lisa dalbello to my 2015 CMA Awards Nominees list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The trapaholics needs another artist added.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the Via Dolorosa: Songs of Redemption saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put nothing remains the same on my summer music playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play some Folk tunes  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Zvooq Night Rider list  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
add Chin-Up Buttercup to punk playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find start time in 12 seconds for National Bomb  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate Book of the Dead three stars  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Weather for apr. the thirteenth in Djibouti  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need to add baro ferret to the Urban Hits under my name  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Add d flame to the Dcode2016 playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan  [predicted:  GetWeather ; correct:  BookRestaurant ]
what weather is in Saint Vincent and the Grenadines on Thursday  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the Get Turnt playlist.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  BookRestaurant ; correct:  GetWeather ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Angelo Amorevoli  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate Notable American Women a 3 star  [predicted:  PlayMusic ; correct:  RateBook ]
