Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table for a party of 2 at Co-operative Block Building in Old Glory  [predicted:  RateBook ; correct:  BookRestaurant ]
I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd.  [predicted:  RateBook ; correct:  BookRestaurant ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I would like to hear a song by Tim Reynolds  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What's the weather forecast for the area neighboring KS this autumn?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the album entitled Se Potrei Avere Te.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book sot for me and my grandfather nearby West Reading  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book a spot far from Åland  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Tell me what the weather will look like here at 01:50  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my entertaining playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me the forecast for the weather in Citrus Springs  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my inventive playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
laura and I want to eat somewhere in Gibraltar on April eleventh, 2033  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Can I hear a tune from Vladimir Vysotski?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play drive playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Massachusetts for six p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want the Turbonegro album to go on the playlist called Genuine R&B  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let's hear something from Elena Risteska  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music on the playlist Electronic Gaming  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather for eight o'clock in Laos that is within walking distance  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to listen to the track Close To The Edge  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please play the genre Rock Strumentale.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
give me some Last Emperor  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
open the Canciones del Recuerdo playlist and play songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the forecast this evening for the Calipuy National Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
What is the weather at 5 am on the Farallon Islands?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play music from the playlist Late Night Jazz  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is forecast in Keyes Summit in New Mexico at 3 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Book a place now for 2  [predicted:  RateBook ; correct:  BookRestaurant ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my 88 Keys playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
need a table at Colony in Sri Lanka next year  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play my ecstatic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Repeat the track of music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you play me songs from the Estado de ánimo playlist?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Live In L.aJoseph Meyer please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let me listen to The Music Of Nature album by Paul Draper.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the list Indie Electronics  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will the weathr be in Akin Jamaica?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me the weather forecast in Greensburg  [predicted:  BookRestaurant ; correct:  GetWeather ]
Reserve a table in Top of the Mark Lambertville, Vermont.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Plan an album by Roni Duani.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  RateBook ; correct:  BookRestaurant ]
Play my Romántica playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's it feel like in North Gulfport  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book sot for four at Fowlkes  [predicted:  RateBook ; correct:  BookRestaurant ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2990 / 3140  ( 0.9522292993630573 )
What is the weather for eight o'clock in Laos that is within walking distance  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can you send me the weather forecast for Malcom  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need Journal of Pediatric Oncology Nursing, help me find  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a reservation for a party of 6 at The Waterside Inn  [predicted:  RateBook ; correct:  BookRestaurant ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the temperature at Eifel National Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play music on the playlist Electronic Gaming  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need to hear the new Kevin Fowler album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What's the weather like when you're distant from Greenport  [predicted:  BookRestaurant ; correct:  GetWeather ]
What theater is playing Haunted Honeymoon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music from my relentless playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
How is weather here?  [predicted:  AddToPlaylist ; correct:  GetWeather ]
Play A Sudden Rainstorm playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music on the playlist Urban Hits  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
She me the forecast for Clayton Lake State Park on Oct. 17th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a reservation at the Roseland Theater at 10 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will the weather conditions be in Hahntown, Wyoming at 1?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me The Education of Little Tree song?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book spot at Candle Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
book a spot that is faraway from the Municipal Borough of Farnworth in 16 minutes  [predicted:  PlayMusic ; correct:  BookRestaurant ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music from the playlist Get Your Mind Right  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
how's the weather looking in Pheba  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
When can I catch a screening of Shivers in Summer?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the forecasted weather for Ninaview?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather like in the Dana Biosphere Reserve six years from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play songs by Queen  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Llegando a Casa playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play music off the soundtrack by Beau Jocque  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it nice now in Madawaska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you please give me the forecast for the Dominica  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
